                                  T  
                                  W  
       L                Q     N   O  
       O L          N   U     I   _  
       A O          I   A   D C D D  
       D A  N       C D R   I K I I  
       _ D  I       K I T   S E M M  
       C _  C  D    E M E E P L E E E
   T   O C  K  I  C L E R M E _ _ _ X
39.5 0 0 0 02 03 01 0 0 0 0 0 0 0 0 0
40.5 0 0 0 02 03 01 1 0 0 0 0 0 0 0 0
41.5 0 0 0 02 03 01 0 0 0 0 0 0 0 0 0
42.5 0 0 0 02 03 01 0 1 0 0 0 0 0 0 0
43.5 0 0 0 02 03 01 0 0 0 0 0 0 0 0 0
44.5 0 0 0 02 03 01 0 0 1 0 0 0 0 0 0
45.5 0 0 0 02 03 01 0 0 0 0 0 0 0 0 0
46.5 0 0 0 02 03 01 0 0 1 0 0 0 0 0 0
47.0 0 0 0 02 03 01 0 0 1 1 1 1 1 0 0
47.5 0 0 0 02 03 01 0 0 0 1 1 1 1 0 0
48.0 0 0 0 02 03 01 0 0 0 1 0 0 0 0 0
48.5 1 0 0 02 03 01 0 0 0 1 0 0 0 0 0
49.0 1 0 0 02 03 01 0 0 0 1 0 0 0 0 1
49.5 0 0 0 02 03 01 0 0 0 1 0 0 0 0 1
50.5 0 0 1 02 03 01 0 0 0 1 0 0 0 0 1
51.0 0 0 1 02 03 01 0 0 0 0 0 0 0 0 1
51.5 0 0 0 02 03 01 0 0 0 0 0 0 0 0 1
52.5 0 1 0 01 04 01 0 0 0 0 0 0 0 0 1
53.0 0 1 0 01 04 01 0 0 0 0 0 0 0 0 0
53.5 0 0 0 01 04 01 0 0 0 0 0 0 0 0 0
54.5 0 0 0 01 04 01 0 1 0 0 0 0 0 0 0
55.5 0 0 0 01 04 01 0 0 0 0 0 0 0 0 0
56.5 0 0 0 01 04 01 0 1 0 0 0 0 0 0 0
57.5 0 0 0 01 04 01 0 0 0 0 0 0 0 0 0
58.5 0 0 0 01 04 01 0 0 1 0 0 0 0 0 0
59.5 0 0 0 01 04 01 0 0 0 0 0 0 0 0 0
60.5 0 0 0 01 04 01 0 0 1 0 0 0 0 0 0
61.0 0 0 0 01 04 01 0 0 1 1 1 0 0 1 0
